Time,FargateOnECS,FargateOnEKS,TunedFargate,EKS
0,1,1,30,1
1,50,47,75,25
2,98,107,130,91
3,163,163,185,691
4,213,226,246,1092
5,263,285,325,1921
6,328,345,420,2508
7,393,405,490,3403
8,449,463,565,
9,496,522,645,
10,558,582,725,
11,608,640,790,
12,660,698,865,
13,713,756,940,
14,767,786,1005,
15,828,843,1080,
16,897,905,1145,
17,950,962,1215,
18,1007,1025,1290,
19,1062,1082,1355,
20,1130,1141,1425,
21,1174,1200,1500,
22,1235,1261,1560,
23,1297,1321,1635,
24,1362,1378,1730,
25,1410,1442,1830,
26,1464,1503,1935,
27,1522,1564,2030,
28,1574,1623,2125,
29,1632,1681,2220,
30,1691,1742,2310,
31,1748,1803,2410,
32,1813,1857,2500,
33,1866,1919,2600,
34,1913,1981,2690,
35,1971,2042,2785,
36,2023,2098,2875,
37,2076,2163,2965,
38,2134,2219,3055,
39,2186,2278,3150,
40,2231,2339,3235,
41,2296,2399,3330,
42,2343,2457,3400,
43,2397,2520,3455,
44,2446,2582,,
45,2498,2638,,
46,2557,2698,,
47,2616,2761,,
48,2678,2811,,
49,2735,2817,,
50,2795,2876,,
51,2850,2934,,
52,2899,2997,,
53,2955,3057,,
54,3005,3119,,
55,3064,,,
56,3117,,,
57,,,,
58,,,,
59,,,,
60,,,,
